Id,SalePrice
1461,115699.5816629423
1462,123576.16010702052
1463,173714.2888086104
1464,199306.79483040178
1465,197913.20036713593
1466,185301.9962100169
1467,200292.14065629675
1468,177929.18381396693
1469,210527.95983245224
1470,118764.92298103718
1471,207377.4326844936
1472,115685.71887809853
1473,95668.10481881641
1474,151834.90893200377
1475,120228.42905344663
1476,307985.41503903316
1477,245669.15703257616
1478,286592.85479915165
1479,268834.89421857405
1480,379842.70065354765
1481,286955.157055611
1482,215528.57327433943
1483,176981.146794806
1484,174970.8797087213
1485,210734.63705492637
1486,214487.77965743362
1487,284074.7341791303
1488,258580.77602225938
1489,183612.23649058898
1490,234885.5800840503
1491,213660.30512708926
1492,88437.89631031535
1493,220791.3380076246
1494,287172.2014982726
1495,278257.93536812137
1496,223971.57125124603
1497,167409.6636663098
1498,157691.99663150182
1499,168630.22431785963
1500,157008.5795388011
1501,195867.13375764724
1502,151644.46280169266
1503,284811.5226298382
1504,250060.35248830565
1505,225672.21068943816
1506,199525.6744559718
1507,246987.1546510288
1508,200285.00210138026
1509,154712.1806751265
1510,143461.46105443232
1511,147628.24185082864
1512,187615.22488137067
1513,164940.6139508622
1514,146062.24899229803
1515,219697.4144347784
1516,164980.04682494048
1517,166894.66905025684
1518,121568.9220332912
1519,242276.38825449464
1520,129844.18089067016
1521,118892.62238675205
1522,205035.51179857913
1523,84401.10126655665
1524,109068.06872394856
1525,96296.7092646336
1526,84201.30714882363
1527,93405.05548975978
1528,156126.84130903694
1529,127014.26205702324
1530,235150.3343664126
1531,146481.06704917294
1532,99821.51405121118
1533,145591.53021965048
1534,132759.64297471684
1535,151757.24592214904
1536,100090.99408587709
1537,35662.146436478826
1538,180130.28631572204
1539,231761.9981581947
1540,101842.54059677885
1541,156455.2360579312
1542,138939.0119566511
1543,194463.86266816186
1544,78847.98670802882
1545,138074.0642962387
1546,142550.9280048589
1547,144638.13653675572
1548,137795.44628257363
1549,127146.18724882288
1550,129614.40037482267
1551,137529.57999413006
1552,128379.13352421753
1553,146828.94222251733
1554,124030.98095258139
1555,160497.5228545653
1556,80542.6186798953
1557,70261.75909894938
1558,98340.31593943399
1559,61659.191195673426
1560,126282.6648469608
1561,112869.11550165818
1562,121898.61091470078
